player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,nb_saisons,country,is_french,is_european,continent
Grant Riller,24.0,187.96,86.18,7.0,2.6,0.1,0.4,-5.4,0.0,0.04,0.22,0.75,0.3,1,USA,False,False,Amérique du Nord
Grant Williams,22.5,198.12,107.05,72.0,6.0,3.4,1.18,3.7,0.04,0.12,0.12,0.57,0.08,4,USA,False,False,Amérique du Nord
Grayson Allen,25.0,193.55,89.81,52.8,9.28,2.54,1.62,-1.84,0.02,0.09,0.17,0.59,0.1,5,USA,False,False,Amérique du Nord
Greg Anderson,33.5,208.28,113.4,66.0,2.85,3.95,0.35,-10.55,0.11,0.22,0.12,0.49,0.04,2,USA,False,False,Amérique du Nord
Greg Anthony,31.5,185.42,81.65,65.83,6.7,1.73,3.25,0.62,0.02,0.08,0.19,0.53,0.27,6,USA,False,False,Amérique du Nord
Greg Brown III,20.5,200.66,93.44,32.0,3.25,2.0,0.45,-10.5,0.04,0.16,0.17,0.47,0.07,2,USA,False,False,Amérique du Nord
Greg Buckner,27.5,193.04,95.03,57.0,5.02,2.87,1.23,-0.18,0.05,0.13,0.13,0.52,0.1,10,USA,False,False,Amérique du Nord
Greg Dreiling,33.0,215.9,120.2,40.0,2.0,1.9,0.3,-8.0,0.06,0.19,0.11,0.47,0.05,1,USA,False,False,Amérique du Nord
Greg Foster,31.0,210.82,112.1,50.86,3.26,2.33,0.5,-6.33,0.06,0.19,0.17,0.43,0.08,7,USA,False,False,Amérique du Nord
Greg Graham,26.5,193.04,80.74,17.0,3.0,0.35,0.7,-6.55,0.01,0.04,0.22,0.55,0.15,2,USA,False,False,Amérique du Nord
Greg Minor,26.0,198.12,98.28,45.33,6.5,2.8,1.3,1.53,0.05,0.12,0.16,0.49,0.11,3,USA,False,False,Amérique du Nord
Greg Monroe,25.7,210.57,116.12,64.6,11.99,7.72,2.03,-3.65,0.12,0.23,0.22,0.56,0.13,10,USA,False,False,Amérique du Nord
Greg Oden,23.0,213.36,127.46,35.0,7.63,5.93,0.47,3.0,0.15,0.23,0.18,0.6,0.04,3,USA,False,False,Amérique du Nord
Greg Ostertag,28.5,218.44,127.01,69.9,4.62,5.62,0.65,4.62,0.13,0.21,0.12,0.51,0.05,10,USA,False,False,Amérique du Nord
Greg Smith,23.0,208.28,113.4,29.8,3.12,2.76,0.2,-4.26,0.09,0.19,0.12,0.61,0.03,5,USA,False,False,Amérique du Nord
Greg Stiemsma,27.5,210.82,117.93,50.75,2.65,2.9,0.45,-7.72,0.09,0.17,0.11,0.59,0.06,4,USA,False,False,Amérique du Nord
Greg Whittington,28.0,203.2,95.25,4.0,0.0,0.0,0.0,33.3,0.0,0.0,0.1,0.0,0.0,1,USA,False,False,Amérique du Nord
Greivis Vasquez,27.0,198.12,95.77,57.29,7.64,2.2,4.3,-4.51,0.01,0.1,0.19,0.48,0.3,7,Venezuela,False,False,Amérique du Sud
Guerschon Yabusele,22.5,203.2,117.93,37.0,2.35,1.45,0.45,-2.2,0.07,0.13,0.16,0.55,0.1,2,France,True,True,Europe
Guillermo Diaz,23.0,187.96,83.91,6.0,0.8,0.3,0.2,-3.4,0.11,0.0,0.15,0.4,0.07,1,USA,False,False,Amérique du Nord
Gustavo Ayon,28.0,208.28,113.4,45.0,4.63,4.43,1.27,-0.87,0.1,0.21,0.15,0.53,0.12,3,Mexico,False,False,Amérique du Nord
Ha Ha,19.5,220.98,138.35,23.0,1.5,1.35,0.05,-7.65,0.07,0.16,0.15,0.52,0.02,2,South Korea,False,False,Asie
Hakeem Olajuwon,36.5,213.36,115.67,56.33,14.63,8.03,1.92,1.43,0.08,0.22,0.24,0.52,0.11,6,Nigeria,False,False,Afrique
Hakim Warrick,26.5,205.74,99.11,65.75,8.89,3.81,0.78,-8.7,0.07,0.16,0.22,0.54,0.07,8,USA,False,False,Amérique du Nord
Hamady Ndiaye,25.5,213.36,106.59,15.0,0.65,0.85,0.1,-18.9,0.05,0.15,0.08,0.5,0.03,2,Senegal,False,False,Afrique
Hamed Haddadi,26.0,218.44,119.2,30.2,2.28,2.5,0.3,4.38,0.15,0.25,0.18,0.51,0.07,5,Iran,False,False,Autre
Hamidou Diallo,22.0,195.58,91.26,52.6,8.5,3.8,1.06,-4.54,0.05,0.14,0.19,0.53,0.08,5,USA,False,False,Amérique du Nord
Hanno Mottola,24.5,210.82,112.04,77.5,4.6,2.85,0.45,-9.25,0.06,0.15,0.17,0.49,0.05,2,Finland,False,True,Europe
Harold Ellis,27.0,195.58,99.79,27.0,6.1,1.9,0.7,-9.4,0.09,0.09,0.2,0.59,0.1,1,USA,False,False,Amérique du Nord
Harold Jamison,24.0,204.47,119.98,18.5,1.85,1.7,0.25,-10.3,0.17,0.09,0.16,0.43,0.08,2,USA,False,False,Amérique du Nord
Harrison Barnes,26.0,203.2,100.82,75.36,14.27,5.08,1.87,0.76,0.03,0.13,0.19,0.57,0.08,11,USA,False,False,Amérique du Nord
Harry Giles III,22.0,209.97,108.86,47.33,5.57,3.8,1.2,-7.87,0.07,0.22,0.2,0.53,0.14,3,USA,False,False,Amérique du Nord
